YRQTR,Total Balances ($Billions),Number of Accounts (Millions),Total Commitments ($Billions),Account Balance (Active Accounts Only) (50th percentile),Account Balance (Active Accounts Only) (75th percentile),Account Balance (Active Accounts Only) (90th percentile),Current Credit Limit (50th Percentile),Current Credit Limit (75th Percentile),Current Credit Limit (90th Percentile),Current Credit Score (10th percentile),Current Credit Score (25th percentile),Current Credit Score (50th percentile),Utilization (Active Accounts Only) (50th percentile),Utilization (Active Accounts Only) (75th percentile),Utilization (Active Accounts Only) (90th percentile),Percentage of Accounts with Credit Line Decrease,Percentage of Accounts with Credit Line Increase,30+ Days Past Due Rates: Accounts Based,30+ Days Past Due Rates: Balances Based,60+ Days Past Due Rates: Accounts Based,60+ Days Past Due Rates: Balances Based,90+ Days Past Due Rates: Accounts Based,90+ Days Past Due Rates: Balances Based,Share of Accounts Making the Minimum Payment,Share of Accounts Making Greater Than the Minimum Payment but Less Than the Full Balance,Share of Accounts Making the Full Balance Payment,Revolving Balances Only ($Billions),Net Charge-Off Rate,Average Purchase APR: General Purpose,Average Purchase APR: Private Label,Total Purchase Volume ($Billions),Average Purchase Volume by Credit Score Group: <660 Credit Score,Average Purchase Volume by Credit Score Group: 660-719 Credit Score,Average Purchase Volume by Credit Score Group: >=720 Credit Score,Percentage of Accounts Subject to Promotional APR: Percentage APR Accounts,Utilization_Rate
2012Q3,571.03,513.95,2985.26,297.0,1541.0,4373.0,3182.0,8083.0,15108.0,631.0,692.0,762.0,9.25,59.08,94.47,,1.16,1.43,3.18,0.93,2.25,0.64,1.63,8.78,32.32,26.37,412.26,4.55,16.8,23.84,316.89,242.19,579.52,1216.93,13.02,0.1912831713150613
2012Q4,587.32,512.46,2985.74,327.0,1591.0,4419.0,3268.0,8083.0,15108.0,631.0,691.0,762.0,10.98,60.45,94.81,1.62,1.77,1.47,3.12,0.97,2.26,0.67,1.64,9.41,32.23,27.75,457.19,4.26,16.78,23.84,349.01,249.29,597.09,1243.91,13.23,0.19670835370795853
2013Q1,556.67,510.43,2969.74,271.0,1474.0,4279.0,3268.0,8083.0,15108.0,631.0,691.0,762.0,8.39,56.54,93.28,2.06,1.54,1.28,2.97,0.86,2.18,0.61,1.63,8.62,32.77,29.02,446.93,4.4,16.71,23.84,326.64,232.83,556.91,1167.7,12.9,0.18744738596644825
2013Q2,564.47,507.7,2974.72,261.0,1428.0,4212.0,3354.0,8083.0,15199.0,635.0,693.0,762.0,7.92,52.74,92.05,1.92,1.49,1.26,2.96,0.83,2.23,0.58,1.74,8.38,31.65,29.68,405.26,4.14,16.7,23.9,357.09,270.17,611.69,1269.8,12.9,0.1897556744836489
2013Q3,564.23,510.61,2974.64,256.0,1414.0,4190.0,3268.0,8083.0,15017.0,636.0,692.0,761.0,7.55,52.93,92.47,1.54,1.65,1.26,2.5,0.78,1.69,0.51,1.15,8.65,31.48,29.81,400.26,3.66,16.68,23.95,362.86,304.82,647.86,1287.66,12.93,0.1896800957426781
2013Q4,583.17,516.3,2994.49,288.0,1473.0,4245.0,3268.0,8083.0,15017.0,636.0,693.0,762.0,9.36,54.99,92.99,1.63,2.02,1.28,2.52,0.82,1.74,0.55,1.22,8.99,30.95,28.91,416.55,3.64,16.69,23.98,373.92,312.29,652.75,1300.46,13.5,0.19474768658435995
2014Q1,554.59,511.85,2989.26,242.0,1372.0,4113.0,3354.0,8083.0,15063.0,635.0,692.0,762.0,7.06,51.49,91.37,1.78,1.75,1.1,2.38,0.71,1.66,0.48,1.18,8.24,31.76,30.34,412.55,3.86,16.67,23.98,350.27,288.1,603.43,1220.56,13.46,0.18552752186159785
2014Q2,568.31,520.05,3004.34,262.0,1434.0,4169.0,3182.0,8083.0,15017.0,637.0,694.0,763.0,7.92,52.35,91.87,1.45,2.42,1.07,2.14,0.65,1.45,0.41,1.01,8.62,31.34,29.51,413.14,3.66,16.72,24.0,388.44,334.29,666.88,1339.54,13.83,0.18916301084431186
2014Q3,575.6,511.25,3009.7,278.0,1473.0,4195.0,3440.0,8083.0,15172.0,636.0,692.0,761.0,8.36,54.88,92.83,1.34,2.18,1.21,2.26,0.76,1.53,0.49,1.04,9.07,31.75,29.16,425.69,3.3,16.79,24.0,394.97,341.15,688.38,1352.84,14.36,0.19124829717247568
2014Q4,600.73,520.62,3044.31,311.0,1531.0,4245.0,3440.0,8083.0,15017.0,634.0,691.0,761.0,10.22,56.51,93.24,1.34,2.65,1.27,2.29,0.81,1.58,0.54,1.1,9.39,31.46,29.28,431.57,3.37,16.85,24.02,405.56,341.9,701.23,1380.81,14.82,0.19732878714716964
